image,true_age,pred_age,true_gender,pred_gender,true_emotion,pred_emotion,inference_time_ms
01_adult_man_happy.jpg,Adult,Adult,Man,Man,Happy,Happy,326.57
02_adult_man_sad.jpg,Adult,Adult,Man,Woman,Sad,Sad,167.66
03_adult_man_sad.jpg,Adult,Adult,Man,Man,Sad,Sad,142.39
04_adult_man_happy.jpg,Adult,Adult,Man,Man,Happy,Sad,131.28
05_adult_man_sad.jpg,Adult,Adult,Man,Man,Sad,Sad,154.22
06_adult_woman_happy.jpg,Adult,Adult,Woman,Man,Happy,Happy,121.58
07_adult_woman_happy.jpg,Adult,Adult,Woman,Man,Happy,Happy,167.73
08_adult_woman_happy.jpg,Adult,Adult,Woman,Woman,Happy,Happy,175.83
09_adult_woman_sad.jpg,Adult,Adult,Woman,Woman,Sad,Sad,167.01
10_adult_woman_sad.jpg,Adult,Adult,Woman,Woman,Sad,Sad,148.9
11_elderly_man_happy.jpg,Elderly,Adult,Man,Woman,Happy,Happy,126.81
12_elderly_man_sad.jpg,Elderly,Adult,Man,Man,Sad,Sad,153.65
13_elderly_man_happy.jpg,Elderly,Elderly,Man,Man,Happy,Sad,137.37
14_elderly_man_sad.jpg,Elderly,Elderly,Man,Man,Sad,Sad,94.02
15_elderly_man_sad.jpg,Elderly,Adult,Man,Man,Sad,Sad,141.49
16_elderly_woman_happy.jpg,Elderly,Adult,Woman,Woman,Happy,Happy,157.71
17_elderly_woman_happy.jpg,Elderly,Adult,Woman,Man,Happy,Happy,167.69
18_elderly_woman_sad.jpg,Elderly,Adult,Woman,Man,Sad,Happy,117.24
19_elderly_woman_happy.jpg,Elderly,Elderly,Woman,Woman,Happy,Happy,154.29
20_elderly_woman_sad.jpg,Elderly,Adult,Woman,Woman,Sad,Sad,103.42
