image,true_age,pred_age,true_gender,pred_gender,true_emotion,pred_emotion,inference_time_ms
01_adult_man_happy.jpg,Adult,Adult,Man,Man,Happy,Happy,1652.99
02_adult_man_sad.jpg,Adult,Adult,Man,Man,Sad,Sad,2912.84
03_adult_man_sad.jpg,Adult,Adult,Man,Man,Sad,Sad,2010.23
04_adult_man_happy.jpg,Adult,Adult,Man,Man,Happy,Happy,1536.58
05_adult_man_sad.jpg,Adult,Adult,Man,Man,Sad,Sad,1527.95
06_adult_woman_happy.jpg,Adult,Adult,Woman,Woman,Happy,Happy,1482.39
07_adult_woman_happy.jpg,Adult,Adult,Woman,Woman,Happy,Happy,1492.25
08_adult_woman_happy.jpg,Adult,Adult,Woman,Woman,Happy,Happy,1563.97
09_adult_woman_sad.jpg,Adult,Adult,Woman,Woman,Sad,Sad,1932.45
10_adult_woman_sad.jpg,Adult,Adult,Woman,Woman,Sad,Sad,2508.85
11_elderly_man_happy.jpg,Elderly,Adult,Man,Man,Happy,Happy,1561.5
12_elderly_man_sad.jpg,Elderly,Elderly,Man,Man,Sad,Sad,1490.76
13_elderly_man_happy.jpg,Elderly,Elderly,Man,Man,Happy,Sad,1454.3
14_elderly_man_sad.jpg,Elderly,Adult,Man,Man,Sad,Sad,1552.82
15_elderly_man_sad.jpg,Elderly,Adult,Man,Man,Sad,Sad,1476.14
16_elderly_woman_happy.jpg,Elderly,Adult,Woman,Woman,Happy,Happy,1467.37
17_elderly_woman_happy.jpg,Elderly,Adult,Woman,Man,Happy,Sad,1700.05
18_elderly_woman_sad.jpg,Elderly,Elderly,Woman,Woman,Sad,Sad,2429.66
19_elderly_woman_happy.jpg,Elderly,Elderly,Woman,Woman,Happy,Happy,1746.87
20_elderly_woman_sad.jpg,Elderly,Adult,Woman,Woman,Sad,Sad,1464.24
